T,F_channel,F_fitted_1param
1.840000000000000080e+00,6.626616670208428372e-01,6.750288283686668445e-01
1.850000000000000089e+00,6.777347293001876327e-01,6.900345503481536413e-01
1.859999999999999876e+00,6.927587929272758238e-01,7.049699957986353960e-01
1.870000000000000107e+00,7.077165078457803293e-01,7.198180709639674379e-01
1.879999999999999893e+00,7.225903497772505624e-01,7.345615777743750296e-01
1.890000000000000124e+00,7.373626617948693118e-01,7.491832540522244122e-01
1.899999999999999911e+00,7.520156970801090690e-01,7.636658145858246094e-01
1.910000000000000142e+00,7.665316626930863686e-01,7.779919929092297126e-01
1.919999999999999929e+00,7.808927642190174323e-01,7.921445836582838851e-01
1.929999999999999938e+00,7.950812510775008279e-01,8.061064853027036792e-01
1.939999999999999947e+00,8.090794623146506659e-01,8.198607430881357239e-01
1.949999999999999956e+00,8.228698727137297997e-01,8.333905920378605892e-01
1.959999999999999964e+00,8.364351389743611698e-01,8.466794997835909165e-01
1.969999999999999973e+00,8.497581458105232244e-01,8.597112090884279079e-01
1.979999999999999982e+00,8.628220517201656836e-01,8.724697798449418951e-01
1.989999999999999991e+00,8.756103342595918937e-01,8.849396303917557161e-01
2.000000000000000000e+00,8.881068345970911659e-01,8.971055779511700745e-01
2.009999999999999787e+00,9.002958011149925222e-01,9.089528779835012173e-01
2.020000000000000018e+00,9.121619319384989266e-01,9.204672623527051512e-01
2.030000000000000249e+00,9.236904161139449787e-01,9.316349760565780791e-01
2.040000000000000036e+00,9.348669732841052848e-01,9.424428123967953930e-01
2.049999999999999822e+00,9.456778916794610357e-01,9.528781464258797573e-01
2.060000000000000053e+00,9.561100642404191108e-01,9.629289665176571367e-01
2.070000000000000284e+00,9.661510227236814741e-01,9.725839039380096418e-01
2.080000000000000071e+00,9.757889696011987635e-01,9.818322602532181254e-01
2.089999999999999858e+00,9.850128076563222645e-01,9.906640324993778446e-01
2.100000000000000089e+00,9.938121671243509425e-01,9.990699359861910933e-01
2.109999999999999876e+00,1.002177430246958600e+00,1.007041424634824267e+00
2.120000000000000107e+00,1.010099753179511950e+00,1.014570708800025312e+00
2.129999999999999893e+00,1.017571085147564780e+00,1.021650770500166505e+00
2.140000000000000124e+00,1.024584184747453053e+00,1.028275375972995676e+00
2.149999999999999911e+00,1.031132633405998256e+00,1.034439085579042183e+00
2.160000000000000142e+00,1.037210845911487711e+00,1.040137260995386503e+00
2.169999999999999929e+00,1.042814078020854351e+00,1.045366069706770151e+00
2.180000000000000160e+00,1.047938431119349811e+00,1.050122486793017895e+00
2.189999999999999947e+00,1.052580853939591776e+00,1.054404294025907074e+00
2.200000000000000178e+00,1.056739141459035913e+00,1.058210076400478483e+00
2.209999999999999964e+00,1.060411930844350259e+00,1.061539215986404772e+00
2.219999999999999751e+00,1.063598694654669163e+00,1.064391883306756270e+00
2.229999999999999982e+00,1.066299731366189274e+00,1.066769026312285318e+00
2.240000000000000213e+00,1.068516153200107954e+00,1.068672356938589418e+00
2.250000000000000000e+00,1.070249871442517708e+00,1.070104335429499232e+00
2.259999999999999787e+00,1.071503579376992032e+00,1.071068152544986329e+00
2.270000000000000018e+00,1.072280732882646914e+00,1.071567709706079619e+00
2.280000000000000249e+00,1.072585528901924601e+00,1.071607597269109924e+00
2.290000000000000036e+00,1.072422881867751698e+00,1.071193071017199072e+00
2.299999999999999822e+00,1.071798398281312181e+00,1.070330027045474752e+00
2.310000000000000053e+00,1.070718349575565664e+00,1.069024975169139191e+00
2.320000000000000284e+00,1.069189643393182010e+00,1.067285010970952186e+00
2.330000000000000071e+00,1.067219793518445314e+00,1.065117786710171988e+00
2.339999999999999858e+00,1.064816888566316955e+00,1.062531481190039706e+00
2.350000000000000089e+00,1.061989559604518796e+00,1.059534768738061183e+00
2.359999999999999876e+00,1.058746946921214516e+00,1.056136787501612773e+00
2.370000000000000107e+00,1.055098666060404700e+00,1.052347107163366990e+00
2.379999999999999893e+00,1.051054773292740663e+00,1.048175696227395592e+00
2.390000000000000124e+00,1.046625730712261060e+00,1.043632889053685453e+00
2.399999999999999911e+00,1.041822371093664046e+00,1.038729352755882740e+00
2.410000000000000142e+00,1.036655862689550789e+00,1.033476054126680532e+00
2.419999999999999929e+00,1.031137674084183553e+00,1.027884226693374092e+00
2.430000000000000160e+00,1.025279539262688999e+00,1.021965338045327076e+00
2.439999999999999947e+00,1.019093423035557500e+00,1.015731057556449768e+00
2.450000000000000178e+00,1.012591486933118068e+00,1.009193224607487283e+00
2.459999999999999964e+00,1.005786055704597004e+00,1.002363817422695202e+00
2.469999999999999751e+00,9.986895845391410287e-01,9.952549226290271500e-01
2.479999999999999982e+00,9.913146270514713310e-01,9.878787055672103579e-01
2.490000000000000213e+00,9.836738042150803274e-01,9.802473815249226341e-01
2.500000000000000000e+00,9.757797742986675793e-01,9.723731879358852304e-01
2.509999999999999787e+00,9.676452038063422245e-01,9.642683575369878080e-01
2.520000000000000018e+00,9.592827396266084827e-01,9.559450926784001101e-01
2.530000000000000249e+00,9.507049823015973899e-01,9.474155406908937316e-01
2.540000000000000036e+00,9.419244605869367959e-01,9.386917704701728260e-01
2.549999999999999822e+00,9.329536072859876406e-01,9.297857502587135725e-01
2.560000000000000053e+00,9.238047363717459826e-01,9.207093266305370616e-01
2.570000000000000284e+00,9.144900214717343045e-01,9.114742047522128576e-01
2.580000000000000071e+00,9.050214756831165275e-01,9.020919298789589202e-01
2.589999999999999858e+00,8.954109327904293814e-01,8.925738701590851809e-01
2.600000000000000089e+00,8.856700297756832096e-01,8.829312006333379648e-01
2.610000000000000320e+00,8.758101907726913993e-01,8.731748885773393809e-01
2.620000000000000107e+00,8.658426123284779230e-01,8.633156800516362805e-01
2.629999999999999893e+00,8.557782499524411168e-01,8.533640876391149765e-01
2.640000000000000124e+00,8.456278060735462621e-01,8.433303794890500971e-01
2.650000000000000355e+00,8.354017191910568796e-01,8.332245694572127936e-01
2.660000000000000142e+00,8.251101543380050529e-01,8.230564084586364793e-01
2.669999999999999929e+00,8.147629947286298968e-01,8.128353769112518501e-01
2.679999999999999716e+00,8.043698345899423785e-01,8.025706782687311858e-01
2.689999999999999947e+00,7.939399731490406342e-01,7.922712336186753523e-01
2.700000000000000178e+00,7.834824096995911535e-01,7.819456772726398608e-01
2.709999999999999964e+00,7.730058397223654731e-01,7.716023533269088519e-01
2.719999999999999751e+00,7.625186520057620765e-01,7.612493131415288827e-01
2.729999999999999982e+00,7.520289267280769741e-01,7.508943137053984973e-01
2.740000000000000213e+00,7.415444344311513669e-01,7.405448168196206993e-01
2.750000000000000000e+00,7.310726358494252786e-01,7.302079890680713836e-01
2.759999999999999787e+00,7.206206825552713413e-01,7.198907025389249537e-01
2.770000000000000018e+00,7.101954183433483170e-01,7.095995362257790928e-01
2.780000000000000249e+00,6.998033813065357434e-01,6.993407780639027127e-01
2.790000000000000036e+00,6.894508065942696051e-01,6.891204275966894555e-01
