T,F_channel,F_fitted_1param
2.520000000000000018e+00,6.671798894377736211e-01,8.995356670557036471e-01
2.530000000000000249e+00,6.478824820337812929e-01,8.961107567963580989e-01
2.540000000000000036e+00,6.289455161634811553e-01,8.928792452526868040e-01
2.549999999999999822e+00,6.103781112575339396e-01,8.898261288920862322e-01
2.560000000000000053e+00,5.921884034413487097e-01,8.869351702162929785e-01
2.570000000000000284e+00,5.743835562299066666e-01,8.841889981082033945e-01
2.580000000000000071e+00,5.569697746706838704e-01,8.815692177822169739e-01
2.589999999999999858e+00,5.399523221318764943e-01,8.790565286422087343e-01
2.600000000000000089e+00,5.233355399691987930e-01,8.766308497445520764e-01
2.610000000000000320e+00,5.071228696989482643e-01,8.742714515428315902e-01
2.620000000000000107e+00,4.913168774898706848e-01,8.719570928687564448e-01
2.629999999999999893e+00,4.759192809981765970e-01,8.696661624082169251e-01
2.640000000000000124e+00,4.609309778393222423e-01,8.673768224839456531e-01
2.650000000000000355e+00,4.463520761629339306e-01,8.650671552751652005e-01
2.660000000000000142e+00,4.321819265791746467e-01,8.627153091360842962e-01
2.669999999999999929e+00,4.184191554447735384e-01,8.602996441490649016e-01
2.679999999999999716e+00,4.050616993955829526e-01,8.577988758758633425e-01
2.689999999999999947e+00,3.921068406275787788e-01,8.551922154287874278e-01
2.700000000000000178e+00,3.795512430424311523e-01,8.524595053893014862e-01
2.709999999999999964e+00,3.673909889693284803e-01,8.495813500916653549e-01
2.719999999999999751e+00,3.556216160372527857e-01,8.465392387700712007e-01
2.729999999999999982e+00,3.442381543524956622e-01,8.433156612464116630e-01
2.740000000000000213e+00,3.332351637491885454e-01,8.398942150594999045e-01
2.750000000000000000e+00,3.226067706232634835e-01,8.362597024964737447e-01
2.759999999999999787e+00,3.123467045754941829e-01,8.323982176854090032e-01
2.770000000000000018e+00,3.024483345915948695e-01,8.282972226453082509e-01
2.780000000000000249e+00,2.929047045763906176e-01,8.239456119929056133e-01
2.790000000000000036e+00,2.837085681161873318e-01,8.193337656889365661e-01
2.799999999999999822e+00,2.748524224096435820e-01,8.144535896643577688e-01
2.810000000000000053e+00,2.663285411973517203e-01,8.092985442289605258e-01
2.820000000000000284e+00,2.581290067029017865e-01,8.038636603319155860e-01
2.830000000000000071e+00,2.502457404820954134e-01,7.981455439572798793e-01
2.839999999999999858e+00,2.426705328705905940e-01,7.921423681139375672e-01
2.850000000000000089e+00,2.353950713777907822e-01,7.858538537279227132e-01
2.860000000000000320e+00,2.284109677142175110e-01,7.792812396686233933e-01
2.870000000000000107e+00,2.217097833889170033e-01,7.724272419665022538e-01
2.879999999999999893e+00,2.152830540080583333e-01,7.652960034532788614e-01
2.890000000000000124e+00,2.091223122497768705e-01,7.578930348463668309e-01
2.900000000000000355e+00,2.032191092280299649e-01,7.502251467704783572e-01
2.910000000000000142e+00,1.975650346280282132e-01,7.423003751919413640e-01
2.919999999999999929e+00,1.921517354268696964e-01,7.341279003757222865e-01
2.929999999999999716e+00,1.869709331251601936e-01,7.257179602466350410e-01
2.939999999999999947e+00,1.820144396627820516e-01,7.170817592546431252e-01
2.950000000000000178e+00,1.772741720628689122e-01,7.082313741014427677e-01
2.959999999999999964e+00,1.727421656756311374e-01,6.991796568361404729e-01
2.969999999999999751e+00,1.684105861333428378e-01,6.899401360327307442e-01
2.979999999999999982e+00,1.642717401692511126e-01,6.805269180539895713e-01
2.990000000000000213e+00,1.603180851380069105e-01,6.709545879266469726e-01
3.000000000000000000e+00,1.565422374395357419e-01,6.612381116326905284e-01
3.009999999999999787e+00,1.529369798361518429e-01,6.513927402549924972e-01
3.020000000000000018e+00,1.494952677522732587e-01,6.414339168108441624e-01
