T,F_channel,F_composed,T_eff_fit,KL_bits
1.660000000000000142e+00,4.007549377007861291e-01,3.995842311506515032e-01,1.312734774124091786e+00,2.238318401984325159e-03
1.669999999999999929e+00,4.141461413151776294e-01,4.130331495419698462e-01,1.324634964882310584e+00,2.319271751787056138e-03
1.680000000000000160e+00,4.277337565727629132e-01,4.266871672600375809e-01,1.336629953173892993e+00,2.401749463388832412e-03
1.689999999999999947e+00,4.415086417238534566e-01,4.405375029038199330e-01,1.348720451578458768e+00,2.485730447871803243e-03
1.700000000000000178e+00,4.554610536707940360e-01,4.545747621981375275e-01,1.360907159746489015e+00,2.571191844834870479e-03
1.709999999999999964e+00,4.695806534068070470e-01,4.687889417485330279e-01,1.373190764231191796e+00,2.658109013553847794e-03
1.720000000000000195e+00,4.838565135853490906e-01,4.831694350677780969e-01,1.385571938332759157e+00,2.746455524530171544e-03
1.729999999999999982e+00,4.982771282650264033e-01,4.977050404540521167e-01,1.398051341948516324e+00,2.836203152235176970e-03
1.740000000000000213e+00,5.128304248639814489e-01,5.123839714761657671e-01,1.410629621426327862e+00,2.927321869453407797e-03
1.750000000000000000e+00,5.275037783493545795e-01,5.271938697544965580e-01,1.423307409433666848e+00,3.019779842061390447e-03
1.760000000000000009e+00,5.422840276744586019e-01,5.421218193223679149e-01,1.436085324829812215e+00,3.113543425694724996e-03
1.770000000000000018e+00,5.571574944666733975e-01,5.571543642364565896e-01,1.448963972536294609e+00,3.208577165242647040e-03
1.780000000000000027e+00,5.721100039625399702e-01,5.722775280465265402e-01,1.461943943433909432e+00,3.304843793875368672e-03
1.790000000000000036e+00,5.871269081614500784e-01,5.874768354922826896e-01,1.475025814246297529e+00,3.402304236676493166e-03
1.800000000000000044e+00,6.021931111763743072e-01,6.027373366364942031e-01,1.488210147448875365e+00,3.500917614293539738e-03
1.810000000000000053e+00,6.172930967264160795e-01,6.180436331189714805e-01,1.501497491167942400e+00,3.600641251286573925e-03
1.820000000000000062e+00,6.324109577240334401e-01,6.333799067634188207e-01,1.514888379102649729e+00,3.701430685127966858e-03
1.830000000000000071e+00,6.475304278788801549e-01,6.487299500065611957e-01,1.528383330440594268e+00,3.803239679968855886e-03
1.840000000000000080e+00,6.626349152410804244e-01,6.640771988477152110e-01,1.541982849789830468e+00,3.906020242295869197e-03
1.850000000000000089e+00,6.777075375872124718e-01,6.794047672042032859e-01,1.555687427114470722e+00,4.009722640401688562e-03
1.860000000000000098e+00,6.927311595418874646e-01,6.946954834822852698e-01,1.569497537674930498e+00,4.114295427845547637e-03
1.870000000000000107e+00,7.076884313141380556e-01,7.099319289266098343e-01,1.583413641979390274e+00,4.219685470039535001e-03
1.880000000000000115e+00,7.225618289203277200e-01,7.250964771988079871e-01,1.597436185740341852e+00,4.325837975052430201e-03
1.890000000000000124e+00,7.373336957476773756e-01,7.401713359459545227e-01,1.611565599834596352e+00,4.432696529146381084e-03
1.899999999999999911e+00,7.519862853094037014e-01,7.551385893642225122e-01,1.625802300278568868e+00,4.540203135186236805e-03
1.910000000000000142e+00,7.665018050250680393e-01,7.699802418173631313e-01,1.640146688200233349e+00,4.648298257197540535e-03
1.919999999999999929e+00,7.808624608568968117e-01,7.846782629177017077e-01,1.654599149824366844e+00,4.756920868343649141e-03
1.930000000000000160e+00,7.950505026216158067e-01,7.992146330104135110e-01,1.669160056463212527e+00,4.866008503756268262e-03
1.939999999999999947e+00,8.090482697894491038e-01,8.135713892528971813e-01,1.683829764512426497e+00,4.975497318304370441e-03
1.950000000000000178e+00,8.228382375795068038e-01,8.277306725659260289e-01,1.698608615451894011e+00,5.085322149460059539e-03
1.959999999999999964e+00,8.364030631517745951e-01,8.416747743892136757e-01,1.713496935859730286e+00,5.195416583639829618e-03
1.970000000000000195e+00,8.497256316928507580e-01,8.553861836197932389e-01,1.728495037423056324e+00,5.305713029140893787e-03
1.979999999999999982e+00,8.627891021978348896e-01,8.688476333151581299e-01,1.743603216964699776e+00,5.416142791952712268e-03
1.990000000000000213e+00,8.755769527311338951e-01,8.820421471796996427e-01,1.758821756465485553e+00,5.526636158261019442e-03
2.000000000000000000e+00,8.880730249777533114e-01,8.949530852945425385e-01,1.774150923105292765e+00,5.637122479002829208e-03
2.009999999999999787e+00,9.002615678625360829e-01,9.075641889238421633e-01,1.789590969296670941e+00,5.747530261542505362e-03
2.020000000000000018e+00,9.121272800561446292e-01,9.198596246521164588e-01,1.805142132735081617e+00,5.857787263351789744e-03
2.030000000000000249e+00,9.236553511590238630e-01,9.318240269812321230e-01,1.820804636447412417e+00,5.967820591398076760e-03
2.040000000000000036e+00,9.348315013788047745e-01,9.434425397855735751e-01,1.836578688851310925e+00,6.077556804177777772e-03
2.049999999999999822e+00,9.456420195175022636e-01,9.547008558218498253e-01,1.852464483817190199e+00,6.186922017942596275e-03
2.060000000000000053e+00,9.560737990937431263e-01,9.655852547252204987e-01,1.868462200735041101e+00,6.295842016447881530e-03
2.070000000000000284e+00,9.661143724369360974e-01,9.760826390688726040e-01,1.884572004588297212e+00,6.404242363176205349e-03
2.080000000000000071e+00,9.757519425994480855e-01,9.861805680303676880e-01,1.900794046032610041e+00,6.512048516380626074e-03
2.089999999999999858e+00,9.849754129416886661e-01,9.958672890702672253e-01,1.917128461476917511e+00,6.619185946940720801e-03
2.100000000000000089e+00,9.937744142674141967e-01,1.005131767051916203e+00,1.933575373173911149e+00,6.725580257189911829e-03
2.110000000000000320e+00,1.002139329388909150e+00,1.013963710761099923e+00,1.950134889310095598e+00,6.831157302416757462e-03
2.120000000000000107e+00,1.010061315023563333e+00,1.022353596904962414e+00,1.966807104103935888e+00,6.935843312697915868e-03
2.129999999999999893e+00,1.017532320937640122e+00,1.030292691471260902e+00,1.983592097905413798e+00,7.039565016152888287e-03
2.140000000000000124e+00,1.024545106269568073e+00,1.037773067881364364e+00,2.000489937305032662e+00,7.142249761168281003e-03
2.150000000000000355e+00,1.031093252969259799e+00,1.044787622559602225e+00,2.017500675237678287e+00,7.243825640789527086e-03
2.160000000000000142e+00,1.037171176336580292e+00,1.051330087604311014e+00,2.034624351100514872e+00,7.344221614001305264e-03
2.169999999999999929e+00,1.042774132614223914e+00,1.057395040313021006e+00,2.051860990866027912e+00,7.443367628014900712e-03
2.180000000000000160e+00,1.047898223655445493e+00,1.062977909826560596e+00,2.069210607205709707e+00,7.541194737478435287e-03
2.190000000000000391e+00,1.052540398656576448e+00,1.068074980719426526e+00,2.086673199610146412e+00,7.637635223329814101e-03
2.200000000000000178e+00,1.056698453005174843e+00,1.072683393953966169e+00,2.104248754518014408e+00,7.732622707998451292e-03
2.209999999999999964e+00,1.060371024270565066e+00,1.076801144398798815e+00,2.121937245446336107e+00,7.826092268233478602e-03
2.219999999999999751e+00,1.063557585402931327e+00,1.080427075816164706e+00,2.139738633120752631e+00,7.917980545521842786e-03
2.229999999999999982e+00,1.066258435219270551e+00,1.083560873169338912e+00,2.157652865612099014e+00,8.008225851953935243e-03
2.240000000000000213e+00,1.068474686258555684e+00,1.086203051956565746e+00,2.175679878474602980e+00,8.096768272502372077e-03
2.250000000000000000e+00,1.070208250104634828e+00,1.088354944980797212e+00,2.193819594885771274e+00,8.183549762997408342e-03
2.259999999999999787e+00,1.071461820296596423e+00,1.090018686716782259e+00,2.212071925788442250e+00,8.268514243670210123e-03
2.270000000000000018e+00,1.072238852945914811e+00,1.091197195233349015e+00,2.230436770035993277e+00,8.351607687350005513e-03
2.280000000000000249e+00,1.072543545190376868e+00,1.091894151834805760e+00,2.248914014538534012e+00,8.432778202668293754e-03
2.290000000000000036e+00,1.072380811632768882e+00,1.092113978529008378e+00,2.267503534411637212e+00,8.511976111655907701e-03
2.299999999999999822e+00,1.071756258908525439e+00,1.091861813660232494e+00,2.286205193124902557e+00,8.589154022019920495e-03
2.310000000000000053e+00,1.070676158541771672e+00,1.091143485746779218e+00,2.305018842655125688e+00,8.664266892707515877e-03
2.320000000000000284e+00,1.069147418246427339e+00,1.089965485322989425e+00,2.323944323639575593e+00,8.737272093572539394e-03
2.330000000000000071e+00,1.067177551839079364e+00,1.088334935629404754e+00,2.342981465527884666e+00,8.808129459772351746e-03
