T,full_state,abs_magnetization,energy,subset_mag_k2_0,subset_mag_k2_1,subset_mag_k4_0,subset_mag_k4_1,subset_mag_k8_0,subset_mag_k8_1,hash8_0,hash8_1,hash8_2,hash8_3,hash8_4,hash8_5,block_majority_0,block_majority_1,block_majority_2,block_majority_3,abs_linear_0,abs_linear_1,abs_linear_2,abs_linear_3,single_spin,parity,sign_M
1.750000000000000000e+00,2.004392779769759159e+00,1.979197383742335781e+00,2.004392779769752497e+00,4.202049046580387248e-01,4.378135635424914018e-01,7.506932922322129276e-01,7.615432736636108535e-01,1.302956994877559671e+00,1.295894444018235836e+00,8.285899160297383048e-01,8.792650347408759171e-01,9.371188003563464264e-01,9.219386532349406194e-01,9.488399351817470295e-01,7.308229646040388383e-01,6.015615559377218702e-01,6.498822357887354961e-01,6.299015996097646619e-01,6.227480640614311280e-01,1.305793111414035312e+00,1.292947217760455736e+00,1.449008594802245531e+00,1.386065869269681006e+00,5.141592595998026577e-23,9.303793448537094335e-01,2.404518723728375345e-05
1.774999999999999911e+00,2.057532202571854096e+00,2.030143734512845910e+00,2.057532202571870084e+00,4.379178159989219887e-01,4.570802084173152813e-01,7.807296008840148849e-01,7.924353175132825555e-01,1.348054391339566838e+00,1.340505094507393524e+00,8.491714965843563112e-01,9.043167453444808102e-01,9.595174998786216713e-01,9.469509255084997967e-01,9.720196633118111107e-01,7.523085458887349697e-01,6.478565098573315639e-01,6.970200579377376915e-01,6.766390050833186454e-01,6.694311577401992341e-01,1.329842774044040388e+00,1.319503420380939707e+00,1.472387704046381085e+00,1.410230272947443186e+00,1.201563129719516960e-23,9.211382638084810726e-01,3.101622919194525757e-05
1.800000000000000044e+00,2.108878971807230052e+00,2.079206825110041290e+00,2.108878971807236713e+00,4.553912157903135527e-01,4.761340061479467090e-01,8.104184777449493504e-01,8.229911663280332634e-01,1.392253250574208456e+00,1.384214907193636712e+00,8.686888539229487005e-01,9.283444236938677152e-01,9.805370314289997280e-01,9.708286935952077368e-01,9.938450445157653856e-01,7.729783868344768383e-01,6.949574050324666130e-01,7.447882171406894347e-01,7.240807098949895160e-01,7.168339133614678449e-01,1.351997142414710140e+00,1.344230038995453347e+00,1.493531823358968280e+00,1.432322763081422812e+00,1.229113884320376590e-23,9.098376777166038432e-01,3.966054650073041484e-05
1.824999999999999956e+00,2.158160689027498691e+00,2.126119933441404708e+00,2.158160689027450729e+00,4.724978550150045198e-01,4.948342867531382860e-01,8.395706053199432084e-01,8.530154114300732004e-01,1.435290649759092707e+00,1.426764002223581462e+00,8.869984032272913987e-01,9.511773822910237763e-01,1.000015041028994522e+00,9.934016058217134404e-01,1.014152013251531592e+00,7.926847595070842800e-01,7.425743047592243684e-01,7.928912824584444241e-01,7.719341154647549885e-01,7.646631016027436445e-01,1.372101220143881806e+00,1.366956355888837349e+00,1.512287780608065013e+00,1.452185683451803211e+00,8.283355221511930214e-26,8.965260581785798877e-01,5.027775835250323719e-05
1.850000000000000089e+00,2.205098659496317559e+00,2.170610914377955503e+00,2.205098659496341096e+00,4.891047192127547794e-01,5.130336402363813164e-01,8.679876322491285601e-01,8.823032848595058208e-01,1.476894977309525681e+00,1.467883900296203858e+00,9.039552222012958715e-01,9.726419428671631007e-01,1.017790023716288017e+00,1.014497175124482897e+00,1.032777007764054122e+00,8.112770460037674880e-01,7.903973500212789771e-01,8.410157603865202613e-01,8.198877432169290325e-01,8.126065515593744459e-01,1.390001586723708105e+00,1.387512600313904221e+00,1.528505616142746604e+00,1.469663702385492821e+00,2.666465430890878498e-23,8.812629127137435736e-01,6.319451682422442683e-05
1.875000000000000000e+00,2.249411691223476506e+00,2.212405966026004478e+00,2.249411691223488940e+00,5.050749844257049759e-01,5.305801017022928612e-01,8.954648486443743671e-01,9.106434253598040263e-01,1.516789579288838175e+00,1.507301129267492934e+00,9.194154025710258304e-01,9.925640668253118415e-01,1.033704004067081295e+00,1.033943428244045171e+00,1.049559626624316344e+00,8.286040323194518997e-01,8.381007136839334626e-01,8.888340852362988098e-01,8.676152037147791818e-01,8.603371353098053786e-01,1.405548975671455203e+00,1.405732648770580351e+00,1.542041246925065945e+00,1.484606493233384228e+00,2.789196858943839836e-24,8.641194504313526314e-01,7.876050673663201015e-05
1.899999999999999911e+00,2.290820263945346547e+00,2.251233752919536091e+00,2.290820263945347879e+00,5.202702168889726808e-01,5.473196089244585227e-01,9.217942032350693315e-01,9.378209934872552278e-01,1.554696775718615864e+00,1.544741198881673716e+00,9.332385967434863039e-01,1.010772234666860392e+00,1.047605392707748440e+00,1.051571789395848056e+00,1.064345465615944120e+00,8.445164183098017308e-01,8.853470670971012035e-01,9.360090900041694306e-01,9.147796609269657209e-01,9.075172465927899834e-01,1.418601042778958154e+00,1.421456934335538103e+00,1.552759307959172830e+00,1.496871599542246578e+00,2.858161563386973912e-24,8.451791062978765146e-01,9.734273032098321769e-05
1.925000000000000044e+00,2.329050973671839220e+00,2.286829791837536430e+00,2.329050973671883629e+00,5.345527655793002042e-01,5.630986748835663525e-01,9.467675976800379312e-01,9.636210689800689400e-01,1.590342158969471287e+00,1.579932856655807738e+00,9.452906962636902222e-01,1.027100505758498317e+00,1.059351946074210682e+00,1.067220128890000952e+00,1.076989064032340515e+00,8.588694846387383564e-01,9.317924683819892584e-01,9.821988670713401870e-01,9.610387009449870011e-01,9.538036827228660863e-01,1.429025254561329339e+00,1.434535493683575025e+00,1.560536096604596024e+00,1.506327410863995242e+00,5.171697358016695741e-25,8.245378734531266796e-01,1.193180311429029386e-04
1.949999999999999956e+00,2.363841143139924661e+00,2.318940990975806749e+00,2.363841143139973955e+00,5.477882855378767291e-01,5.777672055848022126e-01,9.701803789660701227e-01,9.878322488602733209e-01,1.623459071155319844e+00,1.612612522733403164e+00,9.554465686646019806e-01,1.041391677655266079e+00,1.068813746683943577e+00,1.080735895492809018e+00,1.087356879401586207e+00,8.715258469195923396e-01,9.770915630439168664e-01,1.027061910207458739e+00,1.006049496252781505e+00,9.988528207023485983e-01,1.436701816719475611e+00,1.444831069252801692e+00,1.565262535347025530e+00,1.512856165072681502e+00,8.335657545157976797e-27,8.023043968794578706e-01,1.450639164804734245e-04
1.975000000000000089e+00,2.394943476516597780e+00,2.347330221545763873e+00,2.394943476516523173e+00,5.598483207836916220e-01,5.911813836152133295e-01,9.918349386421307923e-01,1.010250352490293047e+00,1.653793145260427977e+00,1.642528789347726725e+00,9.635927717944223758e-01,1.053500454789862317e+00,1.075876114104860060e+00,1.091979242384116811e+00,1.095330202465168545e+00,8.823582188961704986e-01,1.020902972015478971e+00,1.070262414561302222e+00,1.049474141520424286e+00,1.042325963408268441e+00,1.441526554826233042e+00,1.452222175611074473e+00,1.566847061525717066e+00,1.516356885920736808e+00,8.059611963024599819e-24,7.785997884002019420e-01,1.749478407103344691e-04
2.000000000000000000e+00,2.422130628840228006e+00,2.371780793347826766e+00,2.422130628840207134e+00,5.706128691181244772e-01,6.032065309726203362e-01,1.011544318673214926e+00,1.030682130766374494e+00,1.681106786481576076e+00,1.669446862288119782e+00,9.696301601658660063e-01,1.063296530201623735e+00,1.080442353126202182e+00,1.100826050929741617e+00,1.100807920242071525e+00,8.912521009240871317e-01,1.062894730759670781e+00,1.111475600554581389e+00,1.090985025807843956e+00,1.083894720692823332e+00,1.443413654943822566e+00,1.456606033925239796e+00,1.565218348670567527e+00,1.516748160660103872e+00,2.691750234160997562e-23,7.535571323571655933e-01,2.093152340610252384e-04
