T,F_channel,F_composed,T_eff_fit,KL_bits
1.570000000000000062e+00,2.034382486158782810e-01,2.074978478871987164e-01,1.122747738577980492e+00,1.919603432401317420e-03
1.580000000000000071e+00,2.125187618838510484e-01,2.168958997887879270e-01,1.133168699898202014e+00,2.029528478887843070e-03
1.590000000000000080e+00,2.218508261385929159e-01,2.265629943126279966e-01,1.143675085017993975e+00,2.144385876279262648e-03
1.600000000000000089e+00,2.314329615361312154e-01,2.364981011696697388e-01,1.154267456250789969e+00,2.264316622883438563e-03
1.610000000000000098e+00,2.412631599629578294e-01,2.466996406220759996e-01,1.164946361102358274e+00,2.389461067099347621e-03
1.620000000000000107e+00,2.513388704976734500e-01,2.571654666374573184e-01,1.175712332148051598e+00,2.519958581087757866e-03
1.629999999999999893e+00,2.616569861399358210e-01,2.678928515402096977e-01,1.186565886917784418e+00,2.655947222148288562e-03
1.640000000000000124e+00,2.722138319099791648e-01,2.788784716460602220e-01,1.197507527784920089e+00,2.797563382698360721e-03
1.649999999999999911e+00,2.830051544216575787e-01,2.901183947345891134e-01,1.208537741845923108e+00,2.944941430495299096e-03
1.660000000000000142e+00,2.940261130288662761e-01,3.016080694053296374e-01,1.219657000819351023e+00,3.098213338392379057e-03
1.669999999999999929e+00,3.052712726394858356e-01,3.133423153097029124e-01,1.230865760944941822e+00,3.257508305638171127e-03
1.680000000000000160e+00,3.167345982887549427e-01,3.253153157761131675e-01,1.242164462869937314e+00,3.422952372793682148e-03
1.689999999999999947e+00,3.284094515591639007e-01,3.375206125737825191e-01,1.253553531559619572e+00,3.594668029030076602e-03
1.700000000000000178e+00,3.402885889255490848e-01,3.499511021255347631e-01,1.265033376201965876e+00,3.772773814975092718e-03
1.709999999999999964e+00,3.523641621011233127e-01,3.625990341200355793e-01,1.276604390117040744e+00,3.957383921784858594e-03
1.720000000000000195e+00,3.646277204492540669e-01,3.754560123390330850e-01,1.288266950672384947e+00,4.148607787709766674e-03
1.729999999999999982e+00,3.770702155210312601e-01,3.885129974633229066e-01,1.300021419204782092e+00,4.346549693590574630e-03
1.740000000000000213e+00,3.896820077680058780e-01,4.017603125467381076e-01,1.311868140940207539e+00,4.551308359453516000e-03
1.750000000000000000e+00,4.024528754712802248e-01,4.151876508070478922e-01,1.323807444932626698e+00,4.762976542077678246e-03
1.760000000000000009e+00,4.153720259177822727e-01,4.287840850946603721e-01,1.335839643999453763e+00,4.981640636931764128e-03
1.770000000000000018e+00,4.284281088418814831e-01,4.425380808458914128e-01,1.347965034655957517e+00,5.207380286112768195e-03
1.780000000000000027e+00,4.416092321469478055e-01,4.564375109001068687e-01,1.360183897078666604e+00,5.440267991108302566e-03
