P_over_N,iid_natural,diag_lognormal_0,diag_lognormal_1,diag_lognormal_2,diag_lognormal_3,diag_lognormal_4,diag_lognormal_5,rot_powerlaw_0,rot_powerlaw_1,rot_powerlaw_2,rot_powerlaw_3,slice_d4_0,slice_d4_1,slice_d16_0,slice_d16_1,slice_d64_0,slice_d64_1,train_span
2.649999999999999911e+00,1.143192070077897915e+00,1.040235358238990493e+00,1.093278152211360821e+00,1.164911984900573128e+00,1.122346138417611661e+00,1.128479755758204028e+00,1.144240883587015478e+00,1.154846188463712897e+00,9.515913698771726326e-01,1.006192300172273457e+00,1.215397176627074582e+00,1.281985961505081040e+00,7.554293440623072176e-01,1.205730812078003478e+00,1.196389539393668766e+00,1.140892821301085380e+00,1.042952542531226934e+00,2.318495670274676318e-02
2.700000000000000178e+00,1.129016274586536195e+00,1.015790022897914202e+00,1.081094775627628568e+00,1.159526843897584536e+00,1.122542614414012929e+00,1.111715526877807836e+00,1.103156044728788032e+00,1.125848944661573592e+00,9.500084624592328719e-01,9.883732823037079118e-01,1.232109853944919120e+00,1.286332085290238014e+00,7.782327640458598372e-01,1.203806072676162131e+00,1.186619597161805206e+00,1.128321432500180688e+00,1.020691961463226383e+00,2.318495670274675971e-02
2.750000000000000000e+00,1.117216123015190243e+00,1.004917520302646583e+00,1.075736191951773169e+00,1.142008123989877610e+00,1.098872590658392268e+00,1.105630193514334669e+00,1.089954730600318555e+00,1.134921096037233346e+00,9.527312751744968500e-01,9.771949049136186005e-01,1.229883637049970613e+00,1.284334314217932871e+00,8.418896697051732048e-01,1.205899068751438818e+00,1.181814155476335948e+00,1.109036901412392861e+00,1.010027282696995155e+00,2.318495670274677706e-02
2.799999999999999822e+00,1.101759483749236157e+00,9.928588622056343516e-01,1.059714382623202722e+00,1.126127482152891712e+00,1.083935528811411197e+00,1.100045035443727448e+00,1.072946631447120769e+00,1.116249859545165757e+00,9.350917044480338003e-01,9.692802078248853315e-01,1.206182510460547030e+00,1.288400640609309367e+00,7.933612054166759853e-01,1.198819365214852661e+00,1.172662209775533260e+00,1.108952589926060384e+00,9.946698938938730583e-01,2.318495670274672849e-02
2.850000000000000089e+00,1.097852465079845574e+00,9.950223936241847644e-01,1.058008479692588821e+00,1.132386237657406314e+00,1.076112647348121287e+00,1.092522679687457199e+00,1.073153473762868737e+00,1.122616460100884783e+00,9.337877745846352440e-01,9.548011744632717290e-01,1.218709978595436949e+00,1.313413474298716466e+00,8.315092084066039169e-01,1.198228303539912165e+00,1.185215073385656126e+00,1.108051382592160294e+00,9.923783785751574271e-01,2.318495670274684298e-02
2.899999999999999911e+00,1.089410288513692482e+00,9.825261768758022374e-01,1.042676066385319178e+00,1.094283331902755396e+00,1.059647041240953325e+00,1.071014656911404961e+00,1.065622902072197231e+00,1.103615209961143373e+00,9.195305255478473105e-01,9.579842579757960053e-01,1.193673517131413453e+00,1.279295088339693631e+00,8.353980540236985997e-01,1.165038783006186573e+00,1.172832544936846189e+00,1.093817948391893724e+00,9.752294556261791314e-01,2.318495670274669379e-02
2.950000000000000178e+00,1.099585599412266745e+00,9.847934344481545921e-01,1.053188080049129560e+00,1.106341111491775386e+00,1.059076241376873728e+00,1.076713101298480080e+00,1.077021070906708067e+00,1.111176441685094662e+00,9.084827859759702084e-01,9.830375486024284237e-01,1.178116783530276823e+00,1.283238900954740913e+00,8.114192330209272219e-01,1.167770154158016993e+00,1.187540253102434606e+00,1.097291898030531065e+00,9.886774489081819883e-01,2.318495670274673889e-02
3.000000000000000000e+00,1.076086022707350320e+00,9.658597175648935274e-01,1.017421775364552028e+00,1.093672544468566876e+00,1.021081404552611538e+00,1.062786831956085809e+00,1.068372552283009203e+00,1.072707179688672685e+00,8.948972511000041763e-01,9.660589742106303612e-01,1.136085757985640265e+00,1.304290008462070993e+00,7.652544192815080581e-01,1.157053610090277740e+00,1.149609943429764858e+00,1.083016394988712161e+00,9.680045965834226385e-01,2.318495670274671461e-02
3.049999999999999822e+00,1.063350466235093661e+00,9.571830938775509612e-01,1.014384997069299965e+00,1.086868200468003476e+00,1.007027987401484914e+00,1.045586255333469383e+00,1.064740589543194504e+00,1.058301773109858512e+00,8.914782756037264999e-01,9.525223853486233239e-01,1.114841668684561471e+00,1.274218703673049014e+00,7.536462801698237124e-01,1.124718185857319419e+00,1.127606492483073541e+00,1.069983713258550129e+00,9.517336467689216928e-01,2.318495670274679440e-02
3.100000000000000089e+00,1.055368775222747191e+00,9.463979396910264796e-01,1.004628699365969213e+00,1.077307960544060306e+00,1.005641852350201537e+00,1.031862404971657821e+00,1.057639833123769746e+00,1.046611091002351390e+00,8.845440451932716774e-01,9.491818655252665105e-01,1.098237657887555896e+00,1.295454726504403187e+00,7.496911117120171886e-01,1.123404483409409460e+00,1.115949601395079815e+00,1.054479901910117201e+00,9.461245385105312433e-01,2.318495670274672502e-02
3.149999999999999911e+00,1.053542038302505368e+00,9.646874960919223918e-01,1.007956446235734882e+00,1.080246010897846221e+00,1.003542350455898902e+00,1.034044471723037706e+00,1.072933533429664354e+00,1.065193361593266719e+00,9.097699989863169412e-01,9.422297892707837130e-01,1.130299916164487994e+00,1.306948266472001352e+00,7.442666481064811324e-01,1.126157894620049449e+00,1.104896645892812224e+00,1.058726407335323527e+00,9.449537907702563189e-01,2.318495670274671808e-02
3.200000000000000178e+00,1.043851102531311525e+00,9.462633199865401190e-01,9.862559362861231804e-01,1.072759092863417640e+00,9.842524125034852744e-01,1.028069497684681144e+00,1.059838601396752900e+00,1.049442029086575801e+00,9.112798587909383130e-01,9.294318954248446119e-01,1.108033894029292421e+00,1.250209854715911728e+00,6.931092728503391864e-01,1.118944756515492855e+00,1.089567075173107691e+00,1.052751529037140754e+00,9.405910136453352610e-01,2.318495670274676318e-02
3.250000000000000000e+00,1.042170828046255604e+00,9.436897804577040194e-01,9.792440527069530276e-01,1.069897179510637342e+00,9.857282691970862265e-01,1.021696940264113840e+00,1.048470746660296715e+00,1.052881513607623498e+00,9.000373107997760025e-01,9.240085873665491167e-01,1.108178609042334672e+00,1.239644402905002663e+00,6.925984091659244113e-01,1.115203208267219637e+00,1.065439122849757059e+00,1.047463523215049763e+00,9.406062868261135801e-01,2.318495670274672155e-02
3.299999999999999822e+00,1.036738062550023987e+00,9.350336113382941017e-01,9.781596225017755719e-01,1.058044335733150376e+00,9.810043649474025074e-01,1.008577151209577139e+00,1.044435101628298224e+00,1.059868276124301234e+00,8.907611722958511669e-01,9.112837478929824986e-01,1.109442933269443765e+00,1.218784167661208118e+00,7.013915661430192294e-01,1.136029343175458006e+00,1.070461714859889391e+00,1.049315531629420928e+00,9.406373179497385939e-01,2.318495670274675971e-02
3.350000000000000089e+00,1.022234147154250650e+00,9.176140528450618117e-01,9.610142429604957570e-01,1.033457948929230819e+00,9.640347847331867115e-01,9.961143563506287268e-01,1.044211762973471957e+00,1.029930445592752042e+00,8.879605967460720839e-01,8.793233746987894062e-01,1.051116697810881240e+00,1.146156424066409940e+00,7.218323628593805719e-01,1.088173478885588574e+00,1.065251916444136304e+00,1.031367112409994791e+00,9.209165786723165770e-01,2.318495670274674930e-02
3.399999999999999911e+00,1.007383972975850694e+00,9.183090742514556926e-01,9.553753062420545783e-01,1.017220980583652956e+00,9.575195079904709194e-01,9.908819486690856326e-01,1.043215093685604389e+00,1.022372291346143047e+00,8.687785489590428289e-01,8.755694805667172398e-01,1.063727578277686714e+00,1.110845970138087502e+00,7.470265757885012903e-01,1.049056566911008570e+00,1.075801984882438722e+00,1.026837721680860849e+00,9.181317231584532612e-01,2.318495670274676665e-02
3.450000000000000178e+00,1.000013966988623881e+00,9.227964282445901834e-01,9.528188414937318607e-01,1.013355258383713098e+00,9.473389891019087239e-01,9.871584211680414223e-01,1.043983264529956934e+00,1.019338273354111646e+00,8.789736683785017712e-01,8.588730971552414051e-01,1.078046720594499686e+00,1.129208627520098984e+00,7.196943264483264269e-01,1.055734978422242509e+00,1.068943468970569466e+00,1.017831080706738334e+00,8.994892246659468293e-01,2.318495670274676318e-02
3.500000000000000000e+00,9.963002790205827131e-01,9.176434342515527032e-01,9.395227035716940955e-01,1.018458967558309336e+00,9.421751924301560166e-01,9.818344214967167360e-01,1.046120201309438835e+00,1.008444073611873382e+00,8.866178486210843923e-01,8.654464014138257832e-01,1.063282593113147545e+00,1.133535737277362010e+00,7.250406667840941788e-01,1.073507346346269653e+00,1.061915340292143073e+00,1.019075030206220145e+00,9.022009912868727000e-01,2.318495670274671461e-02
