P_over_N,iid_natural,diag_lognormal_0,diag_lognormal_1,diag_lognormal_2,diag_lognormal_3,diag_lognormal_4,diag_lognormal_5,rot_powerlaw_0,rot_powerlaw_1,rot_powerlaw_2,rot_powerlaw_3,slice_d4_0,slice_d4_1,slice_d16_0,slice_d16_1,slice_d64_0,slice_d64_1,train_span
1.149999999999999911e+00,5.822724399252366290e+00,5.593006835262577248e+00,5.931648594229350202e+00,6.257621174269490716e+00,5.102090187819200651e+00,5.635825094051027051e+00,6.304743201837287536e+00,5.910696609443904848e+00,5.494730687410944725e+00,5.428226103848481365e+00,5.371989585991007843e+00,5.004908570811350543e+00,5.159693839346789268e+00,6.346176471457376067e+00,5.007180200370362044e+00,5.826925117202677917e+00,5.480650375409273245e+00,2.318495670274672849e-02
1.199999999999999956e+00,3.782280022534437958e+00,3.722038582678621310e+00,3.874709581425903160e+00,3.934210115212429137e+00,3.369046558380101253e+00,3.734689250177034125e+00,3.752765194503888235e+00,3.164767849025437396e+00,3.605699485139364668e+00,3.724518463775718935e+00,3.223105675863989550e+00,3.359898191178655402e+00,3.860953156336695891e+00,3.682969629496194219e+00,3.050015145762682511e+00,3.718655093678343349e+00,3.671962679315645683e+00,2.318495670274666950e-02
1.250000000000000000e+00,3.332907339676651759e+00,3.294012289872013444e+00,3.437292150188555606e+00,3.387311711545154314e+00,3.115424274751581457e+00,3.314208538560659889e+00,3.310349581858904600e+00,2.954520396687299932e+00,2.982613484731993392e+00,3.438460555818842579e+00,2.899573773075104555e+00,3.105221612718108926e+00,3.128857422671516453e+00,3.259417741239604815e+00,3.050934410379961381e+00,3.343722950845630315e+00,3.265463563720238049e+00,2.318495670274673195e-02
1.300000000000000044e+00,2.657583526569604171e+00,2.589710419269127595e+00,2.800194938212944074e+00,2.757665238634971594e+00,2.513862603056701950e+00,2.502901358240072760e+00,2.532981991884401207e+00,2.347499716823357563e+00,2.405909418524603716e+00,2.256959629472125251e+00,2.363920799621167301e+00,2.889750393267824347e+00,2.842441699002515865e+00,2.759608348247274634e+00,2.267765779397067583e+00,2.605231879004549889e+00,2.471460595018694750e+00,2.318495670274675277e-02
1.350000000000000089e+00,2.359412902074497165e+00,2.301558215376251049e+00,2.483067346205086956e+00,2.447268615437390604e+00,2.294622012937530098e+00,2.365658352117011365e+00,2.240349242238982796e+00,2.114738064318701483e+00,2.092744359774317608e+00,2.017539995740234904e+00,2.085803094773944544e+00,2.896206075686937442e+00,2.524716128354597799e+00,2.705173129548041011e+00,2.142700589639778830e+00,2.300301450575326978e+00,2.257836101634032921e+00,2.318495670274675277e-02
1.399999999999999911e+00,2.045049037865273256e+00,1.954537236305249337e+00,2.143029040930387374e+00,2.099377938448938163e+00,1.997442869213701400e+00,1.968218590282879266e+00,1.949581446600339607e+00,1.833707672381555742e+00,1.866096777327183265e+00,1.845344770062317341e+00,1.978622678524070810e+00,2.747580957773509081e+00,1.904743544404202238e+00,2.190932024522280308e+00,1.800260768888300333e+00,2.069423827327596221e+00,1.963315820202610196e+00,2.318495670274673542e-02
1.449999999999999956e+00,1.926495395177027392e+00,1.880717342646826440e+00,1.969066266185671932e+00,1.978939447733551349e+00,1.882964768770552855e+00,1.880179037401880082e+00,1.836471700402726670e+00,1.737881132817646002e+00,1.751500221446484762e+00,1.820556747547777077e+00,1.865367192166106136e+00,2.363750797065946152e+00,1.903170969757737252e+00,2.124415218689982066e+00,1.729606852357749913e+00,1.911426804686849223e+00,1.799576713625071323e+00,2.318495670274682563e-02
1.500000000000000000e+00,1.842757032287214880e+00,1.734897874039650123e+00,1.871510081617982379e+00,1.814022266861175625e+00,1.736671534629811386e+00,1.840853416191306824e+00,1.723856939088908913e+00,1.789571978614503012e+00,1.695265098840762263e+00,1.682581703352806102e+00,1.757643944563261229e+00,2.310217282314655840e+00,1.602156044473050045e+00,2.055855434256159242e+00,1.531610698751598054e+00,1.799916745405569785e+00,1.684764679480837968e+00,2.318495670274673542e-02
1.550000000000000044e+00,1.740868013031088513e+00,1.692356815583499596e+00,1.686172204469974290e+00,1.690497311315850126e+00,1.652866696513040523e+00,1.752371066671290389e+00,1.629335982676719308e+00,1.750359624501765410e+00,1.622670325249945034e+00,1.514349224223010104e+00,1.621086485766527918e+00,1.966754886846967310e+00,1.388346476838710375e+00,2.014093358728585414e+00,1.471711172554174274e+00,1.690013263712868197e+00,1.570252020238466883e+00,2.318495670274678053e-02
1.600000000000000089e+00,1.686229006123263208e+00,1.639971690654394409e+00,1.638352565164174379e+00,1.614762429810006283e+00,1.565559864726805861e+00,1.705533274266316512e+00,1.570601862987057284e+00,1.669182775662572782e+00,1.581808019429738810e+00,1.422164276326020937e+00,1.592690979129185003e+00,1.934505928842423117e+00,1.307633705502663668e+00,1.898936486349446895e+00,1.461549959848430280e+00,1.630361643184305986e+00,1.466279575281080216e+00,2.318495670274679440e-02
