T,F_channel,F_fitted_1param
1.500000000000000000e+00,1.363186989944121796e+00,1.289115486095723462e+00
1.510000000000000009e+00,1.401639383037441178e+00,1.326261024907294361e+00
1.520000000000000018e+00,1.421600357286088467e+00,1.345946816149873548e+00
1.530000000000000027e+00,1.441357426957742272e+00,1.365569461129577666e+00
1.540000000000000036e+00,1.460895502181845051e+00,1.385111631793867648e+00
1.550000000000000044e+00,1.480199141218717429e+00,1.404555296692187039e+00
1.560000000000000053e+00,1.499252557897470695e+00,1.423881744264224203e+00
1.570000000000000062e+00,1.518039631301710601e+00,1.443071608910343695e+00
1.580000000000000071e+00,1.536543917261898207e+00,1.462104899901239374e+00
1.590000000000000080e+00,1.554748661973228918e+00,1.480961032865419247e+00
1.600000000000000089e+00,1.572636817714513136e+00,1.499618864037282284e+00
1.610000000000000098e+00,1.590191060782811583e+00,1.518056727270608031e+00
1.620000000000000107e+00,1.607393811383137194e+00,1.536252473304926314e+00
1.629999999999999893e+00,1.624227255775074097e+00,1.554183511811662921e+00
1.640000000000000124e+00,1.640673370756893013e+00,1.571826855887760166e+00
1.649999999999999911e+00,1.656713950004532254e+00,1.589159168668132338e+00
1.659999999999999920e+00,1.672330632720418819e+00,1.606156812450088456e+00
1.669999999999999929e+00,1.687504934430678283e+00,1.622795899851566581e+00
1.679999999999999938e+00,1.702218279916987820e+00,1.639052347064402504e+00
1.689999999999999947e+00,1.716452038039748107e+00,1.654901929025796248e+00
1.699999999999999956e+00,1.730187558748167209e+00,1.670320336470222600e+00
1.709999999999999964e+00,1.743406211957329255e+00,1.685283234523503149e+00
1.719999999999999973e+00,1.756089428190762636e+00,1.699766322883330183e+00
1.729999999999999982e+00,1.768218741322394427e+00,1.713745397444206287e+00
1.739999999999999991e+00,1.779775832687392700e+00,1.727196413038590617e+00
1.750000000000000000e+00,1.790742576880929748e+00,1.740095547158290179e+00
1.760000000000000009e+00,1.801101089048564141e+00,1.752419264575463487e+00
1.770000000000000018e+00,1.810833773464755936e+00,1.764144382693525470e+00
1.780000000000000027e+00,1.819923373342226203e+00,1.775248137154522121e+00
1.790000000000000036e+00,1.828353021636997422e+00,1.785708247850840369e+00
1.800000000000000044e+00,1.836106292581045629e+00,1.795502984857589412e+00
1.810000000000000053e+00,1.843167254141508504e+00,1.804611234225249605e+00
1.820000000000000062e+00,1.849520520709435623e+00,1.813012563319337911e+00
1.830000000000000071e+00,1.855151306260153010e+00,1.820687285487962326e+00
1.840000000000000080e+00,1.860045477481769405e+00,1.827616523874192378e+00
1.850000000000000089e+00,1.864189606553502188e+00,1.833782274026630965e+00
1.859999999999999876e+00,1.867571024097924415e+00,1.839167465169910143e+00
1.870000000000000107e+00,1.870177870981519108e+00,1.843756019974372773e+00
1.879999999999999893e+00,1.871999149366663673e+00,1.847532912223209589e+00
1.890000000000000124e+00,1.873024772821863637e+00,1.850484222466910467e+00
1.899999999999999911e+00,1.873245614966634998e+00,1.852597191589559822e+00
1.910000000000000142e+00,1.872653556566612476e+00,1.853860271441037710e+00
1.919999999999999929e+00,1.871241530514390128e+00,1.854263172764899714e+00
1.929999999999999938e+00,1.869003565123838584e+00,1.853796910328687986e+00
1.939999999999999947e+00,1.865934824669565950e+00,1.852453844484920342e+00
1.949999999999999956e+00,1.862031647539467594e+00,1.850227719545560756e+00
1.959999999999999964e+00,1.857291581316896423e+00,1.847113698300967055e+00
1.969999999999999973e+00,1.851713415135789020e+00,1.843108392972131249e+00
1.979999999999999982e+00,1.845297208403874345e+00,1.838209891913841654e+00
1.989999999999999991e+00,1.838044315862878531e+00,1.832417782147430785e+00
2.000000000000000000e+00,1.829957409529509693e+00,1.825733167959103787e+00
2.009999999999999787e+00,1.821040496124660901e+00,1.818158684590445606e+00
2.020000000000000018e+00,1.811298930704738908e+00,1.809698507685809199e+00
2.030000000000000249e+00,1.800739425917219583e+00,1.800358357985889279e+00
2.040000000000000036e+00,1.789370057016643090e+00,1.790145501339055700e+00
2.049999999999999822e+00,1.777200262431584576e+00,1.779068744041705674e+00
2.060000000000000053e+00,1.764240839513018688e+00,1.767138423148979065e+00
2.070000000000000284e+00,1.750503935878154449e+00,1.754366392144956155e+00
2.080000000000000071e+00,1.736003035939593486e+00,1.740766001793053963e+00
2.089999999999999858e+00,1.720752942797889373e+00,1.726352076082558140e+00
2.100000000000000089e+00,1.704769755323542579e+00,1.711140883510120503e+00
