T,F_channel,F_fitted_1param
2.660000000000000142e+00,1.675353302657871968e+00,1.889211346628613120e+00
2.669999999999999929e+00,1.652416383323603188e+00,1.873036347956794190e+00
2.679999999999999716e+00,1.629506014923768120e+00,1.856682115792655852e+00
2.689999999999999947e+00,1.606635287429104331e+00,1.840154468902939655e+00
2.700000000000000178e+00,1.583816823102901949e+00,1.823459175370823804e+00
2.709999999999999964e+00,1.561062774731118985e+00,1.806601955989113772e+00
2.719999999999999751e+00,1.538384824731458433e+00,1.789588487252606441e+00
2.729999999999999982e+00,1.515794185875698474e+00,1.772424405076394649e+00
2.740000000000000213e+00,1.493301602854544052e+00,1.755115308178091027e+00
2.750000000000000000e+00,1.470917354796430487e+00,1.737666761344417887e+00
2.759999999999999787e+00,1.448651258952835086e+00,1.720084299113006310e+00
2.770000000000000018e+00,1.426512675080807702e+00,1.702373429014393702e+00
2.780000000000000249e+00,1.404510510681339142e+00,1.684539634875441783e+00
2.790000000000000036e+00,1.382653226863162610e+00,1.666588379893346294e+00
2.799999999999999822e+00,1.360948845219152048e+00,1.648525110036659802e+00
2.810000000000000053e+00,1.339404955083801863e+00,1.630355257010238201e+00
2.820000000000000284e+00,1.318028721135333647e+00,1.612084240742481800e+00
2.830000000000000071e+00,1.296826892079016913e+00,1.593717472601268170e+00
2.839999999999999858e+00,1.275805809398926627e+00,1.575260357916539400e+00
2.850000000000000089e+00,1.254971416391488681e+00,1.556718298111239740e+00
2.860000000000000320e+00,1.234329267890029058e+00,1.538096693178479635e+00
2.870000000000000107e+00,1.213884540121236366e+00,1.519400943799080084e+00
2.879999999999999893e+00,1.193642040796700110e+00,1.500636453224686528e+00
2.890000000000000124e+00,1.173606219282946395e+00,1.481808628672839356e+00
2.900000000000000355e+00,1.153781177225122079e+00,1.462922883102532490e+00
2.910000000000000142e+00,1.134170679201910392e+00,1.443984636574577651e+00
2.919999999999999929e+00,1.114778163263143274e+00,1.424999317059956416e+00
2.929999999999999716e+00,1.095606751712754123e+00,1.405972361437659801e+00
2.939999999999999947e+00,1.076659261847836779e+00,1.386909216043811455e+00
2.950000000000000178e+00,1.057938216677708709e+00,1.367815337066802917e+00
2.959999999999999964e+00,1.039445855723052148e+00,1.348696190951247154e+00
2.969999999999999751e+00,1.021184145463263970e+00,1.329557254003470135e+00
2.979999999999999982e+00,1.003154789976744121e+00,1.310404012346609193e+00
2.990000000000000213e+00,9.853592413965107655e-01,1.291241961475824596e+00
3.000000000000000000e+00,9.677987100973500789e-01,1.272076605378770431e+00
3.009999999999999787e+00,9.504741748130441925e-01,1.252913455569870882e+00
3.020000000000000018e+00,9.333863926527465882e-01,1.233758030049217025e+00
3.030000000000000249e+00,9.165359088983239255e-01,1.214615851952111969e+00
3.040000000000000036e+00,8.999230665127664341e-01,1.195492447720010176e+00
3.049999999999999822e+00,8.835480155475676778e-01,1.176393345517470657e+00
3.060000000000000053e+00,8.674107222312852361e-01,1.157324072948212379e+00
3.070000000000000284e+00,8.515109779809844071e-01,1.138290155039917595e+00
3.080000000000000071e+00,8.358484081637733709e-01,1.119297111917246124e+00
3.089999999999999858e+00,8.204224802915568437e-01,1.100350455611307732e+00
3.100000000000000089e+00,8.052325124202485140e-01,1.081455687757861162e+00
3.110000000000000320e+00,7.902776812479055391e-01,1.062618296663365713e+00
3.120000000000000107e+00,7.755570294997362613e-01,1.043843753515206751e+00
3.129999999999999893e+00,7.610694736234171476e-01,1.025137509564394200e+00
3.140000000000000124e+00,7.468138110389839213e-01,1.006504992518456598e+00
3.150000000000000355e+00,7.327887269456354602e-01,9.879516026659859174e-01
3.160000000000000142e+00,7.189928011431607757e-01,9.694827092093265541e-01
3.169999999999999929e+00,7.054245145414349549e-01,9.511036463552066111e-01
3.179999999999999716e+00,6.920822552784490211e-01,9.328197090454694029e-01
3.189999999999999947e+00,6.789643248411574294e-01,9.146361489753550567e-01
