rung,H,r=H/H_A,m=|r-1|,transfer_skill,shape_distance
L1,-0.0011,-0.0021,1.0021,0.0617,0.2031
L2,0.6985,1.3953,0.3953,0.5368,0.0996
L3,0.4974,0.9935,0.0065,0.9020,0.0211
L4,0.5037,1.0063,0.0063,0.8937,0.0227

common-factor cv,H,m,transfer_skill,shape_distance,shape n64 vs n1024,shape vs Gaussian (n1024)
0.0,0.4946,0.0120,0.9355,0.0138,0.0096,0.0044
0.25,0.4951,0.0109,0.8754,0.0268,0.0056,0.0189
0.5,0.4950,0.0112,0.6400,0.0774,0.0079,0.0752
1.0,0.4936,0.0139,0.0026,0.2271,0.0129,0.2277
2.0,0.4923,0.0166,0.0000,0.5422,0.0246,0.5505
