T,magnetization,fisher_info_chi
1.171428571428571486e+00,5.015999147601527358e-14,5.833333333333332149e+00
1.185714285714285721e+00,4.708882470232372368e-14,5.384615384615386802e+00
1.199999999999999956e+00,4.297491136692542070e-14,5.000000000000001776e+00
1.214285714285714191e+00,4.287606287414157011e-14,4.666666666666668739e+00
1.228571428571428426e+00,3.657410466771904654e-14,4.375000000000003553e+00
1.242857142857142883e+00,3.827587509669909353e-14,4.117647058823529882e+00
1.257142857142857117e+00,3.098864478388993951e-14,3.888888888888890616e+00
1.271428571428571352e+00,2.922013272938180489e-14,3.684210526315790268e+00
1.285714285714285587e+00,3.200838197048707439e-14,3.500000000000002665e+00
1.300000000000000044e+00,3.125568186733852880e-14,3.333333333333332149e+00
1.314285714285714279e+00,2.626573159731422822e-14,3.181818181818182545e+00
1.328571428571428514e+00,2.438234018737940967e-14,3.043478260869564966e+00
1.342857142857142971e+00,2.496255276116747590e-14,2.916666666666666075e+00
1.357142857142857206e+00,2.073594656561242611e-14,2.799999999999999378e+00
1.371428571428571441e+00,2.543426520454328415e-14,2.692307692307691624e+00
1.385714285714285676e+00,2.471852487346535541e-14,2.592592592592592560e+00
1.399999999999999911e+00,1.843054090251735982e-14,2.500000000000000000e+00
1.414285714285714368e+00,2.043296315337840021e-14,2.413793103448275801e+00
1.428571428571428603e+00,1.699636959038434466e-14,2.333333333333333037e+00
1.442857142857142838e+00,2.141095600413158194e-14,2.258064516129032917e+00
1.457142857142857073e+00,1.980081796520428513e-14,2.187500000000000000e+00
1.471428571428571530e+00,1.919056631067047697e-14,2.121212121212120216e+00
1.485714285714285765e+00,1.947807068778424558e-14,2.058823529411764053e+00
1.500000000000000000e+00,1.379334136511529593e-14,1.999999999999999778e+00
1.514285714285714235e+00,1.517870236723016409e-14,1.944444444444445086e+00
1.528571428571428470e+00,1.745912786575803908e-14,1.891891891891892552e+00
1.542857142857142927e+00,1.359660977640788391e-14,1.842105263157894690e+00
1.557142857142857162e+00,1.689807802734108102e-14,1.794871794871795156e+00
1.571428571428571397e+00,1.394432821391708908e-14,1.750000000000000000e+00
1.585714285714285632e+00,1.178384851216484677e-14,1.707317073170731669e+00
1.600000000000000089e+00,1.631095290978184760e-14,1.666666666666666741e+00
1.614285714285714324e+00,1.456972385301290485e-14,1.627906976744185830e+00
